PrdLevel,Date,Value,Cut,Short,Geography,Flag
I T C_BINGO TEDHE MEDHE,01-03-2018,4.9212,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,8.3178,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,6.1498,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,6.892,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,9.1145,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,8.6385,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,9.1411,State,GJ,Gujarat,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,8.836021544,State,GJ,Gujarat,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,8.836021544,State,GJ,Gujarat,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,8.836021544,State,GJ,Gujarat,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,75.7139,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,76.8332,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,77.792,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,80.5373,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,85.9019,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,76.2091,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,91.0922,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,88.7393,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,95.3814,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,99.3834,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,100.1929,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,101.995,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,91.0974,State,HP,Himachal Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,99.54993083,State,HP,Himachal Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,96.38203278,State,HP,Himachal Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,100.1926078,State,HP,Himachal Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,96.977,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,97.3207,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,96.8077,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,100.6571,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,103.4488,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,103.7961,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,112.9569,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,123.432,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,132.2555,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,126.0357,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,122.4309,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,117.7989,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,104.1028,State,HR,Haryana,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,104.1028,State,HR,Haryana,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,104.1028,State,HR,Haryana,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,104.1028,State,HR,Haryana,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,60.2288,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,67.3284,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,61.6822,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,66.8536,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,72.2411,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,57.8862,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,71.9181,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,71.8499,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,79.7468,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,74.3066,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,76.9763,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,72.8369,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,71.0134,State,JH,Jharkhand,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,75.95314445,State,JH,Jharkhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,75.9189636,State,JH,Jharkhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,77.12416383,State,JH,Jharkhand,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,30.916,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,33.1494,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,40.9273,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,42.3322,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,51.5778,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,46.5996,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,48.0975,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,49.3988,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,54.5649,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,59.9256,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,57.7753,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,59.124,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,55.8842,State,KA,Karnataka,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,57.51325588,State,KA,Karnataka,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,59.14231176,State,KA,Karnataka,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,60.77136765,State,KA,Karnataka,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,5.6444,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,7.1541,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,10.7354,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,14.0678,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,15.3841,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,14.304,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,14.254,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,13.0471,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,13.5946,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,11.3669,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,11.1546,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,10.1822,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,9.8787,State,KL,Kerala,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,9.723990945,State,KL,Kerala,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,9.64512804,State,KL,Kerala,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,9.604927693,State,KL,Kerala,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,61.0796,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,68.9735,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,69.6259,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,72.4458,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,70.8256,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,79.21,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,88.042,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,83.4912,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,96.7723,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,99.0296,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,100.8719,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,106.5652,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,100.5818,State,MH,Maharashtra,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,100.5818,State,MH,Maharashtra,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,100.5818,State,MH,Maharashtra,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,100.5818,State,MH,Maharashtra,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,33.0535,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,30.1909,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,36.7559,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,33.8218,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,40.192,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,26.7084,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,35.2951,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,40.1094,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,39.7635,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,42.0432,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,47.0799,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,47.4911,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,46.7732,State,MP,Madhya Pradesh,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,47.18787691,State,MP,Madhya Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,47.83543857,State,MP,Madhya Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,48.48300022,State,MP,Madhya Pradesh,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,167.3618,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-10-2017,175.1539,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-11-2017,179.6736,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-12-2017,184.8321,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-01-2018,202.6687,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-02-2018,184.1343,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-03-2018,216.3514,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-04-2018,203.5305,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-05-2018,203.5661,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-06-2018,209.643,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-07-2018,205.9491,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-08-2018,199.9082,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-09-2018,170.9846,State,OR,Orissa,Training
I T C_BINGO TEDHE MEDHE,01-10-2018,187.8975152,State,OR,Orissa,Forecasted
I T C_BINGO TEDHE MEDHE,01-11-2018,183.7702143,State,OR,Orissa,Forecasted
I T C_BINGO TEDHE MEDHE,01-12-2018,189.300949,State,OR,Orissa,Forecasted
I T C_BINGO TEDHE MEDHE,01-09-2017,165.1713,State,PB,Punjab,Training
